Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
170,Aaron Nesmith,SF,21,BOS,5,0,15.0,1.0,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0.4,0.4,1.0,0.4,2.2,2.6,0.2,0.2,0.2,0.4,1.4,3.2,nesmiaa01
171,Raul Neto,PG,28,WAS,5,3,22.4,2.4,6.8,0.353,0.8,3.0,0.267,1.6,3.8,0.421,0.412,0.8,1.0,0.8,0.6,1.6,2.2,1.0,0.4,0.0,0.2,2.2,6.4,netora01
172,Georges Niang,PF,27,UTA,11,0,11.7,1.0,3.5,0.282,0.8,2.7,0.3,0.2,0.8,0.222,0.397,0.4,0.4,1.0,0.2,1.5,1.7,0.7,0.0,0.1,0.7,1.7,3.2,niangge01
173,Zeke Nnaji,PF,20,DEN,5,0,3.6,0.8,1.6,0.5,0.6,1.4,0.429,0.2,0.2,1.0,0.688,0.2,0.4,0.5,0.2,0.2,0.4,0.4,0.2,0.0,0.0,0.2,2.4,nnajize01
174,Nerlens Noel,C,26,NYK,5,2,18.4,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.6,3.2,0.813,2.0,2.0,4.0,0.2,0.8,0.6,0.8,3.0,4.6,noelne01
175,Frank Ntilikina,PG,22,NYK,3,0,1.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ntilila01
176,Kendrick Nunn,PG,25,MIA,4,2,23.3,4.3,10.8,0.395,1.3,4.5,0.278,3.0,6.3,0.48,0.453,0.5,0.5,1.0,0.0,1.5,1.5,1.5,0.5,0.0,0.8,1.0,10.3,nunnke01
177,Jusuf Nurkic,C,26,POR,6,6,28.8,5.0,9.2,0.545,0.2,0.8,0.2,4.8,8.3,0.58,0.555,3.0,4.2,0.72,3.0,7.3,10.3,2.7,0.5,1.2,2.3,5.0,13.2,nurkiju01
178,Jordan Nwora,SF,22,MIL,5,0,6.2,0.8,3.6,0.222,0.4,1.6,0.25,0.4,2.0,0.2,0.278,1.0,1.4,0.714,1.0,0.8,1.8,0.2,0.0,0.2,0.2,0.2,3.0,nworajo01
179,Royce O'Neale,SF,27,UTA,11,11,36.7,3.9,7.7,0.506,2.5,5.5,0.467,1.4,2.3,0.6,0.671,0.9,1.1,0.833,1.5,5.8,7.3,2.1,1.1,0.3,0.7,3.7,11.3,onealro01
