Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Ronnie Price,26,70,4,22.4,2.3,6.4,0.5,1.8,1.8,4.7,1.1,1.8,1.0,1.3,2.2,3.5,1.1,0.3,1.1,3.8,6.3,0.359,0.278,0.383,0.398,0.611,2010,1.25,65,58.04,0,0,1,0,0
Ronny Turiaf,27,42,20,20.8,2.0,3.5,0.0,0.0,2.0,3.5,0.9,1.9,1.3,3.3,4.5,2.1,0.5,1.3,1.2,2.3,4.9,0.571,0.0,0.571,0.571,0.474,2010,4.14,67,58.04,1,0,0,0,0
Roy Hibbert,23,81,69,25.1,4.8,9.7,0.0,0.1,4.7,9.6,2.1,2.8,2.2,3.5,5.7,2.0,0.4,1.6,1.8,3.5,11.7,0.495,0.0,0.49,0.495,0.75,2010,1.575,64,58.04,1,0,0,0,0
Royal Ivey,28,91,0,25.2,3.0,7.6,0.9,3.0,2.1,4.5,0.6,0.9,0.4,1.8,2.2,2.6,1.3,0.4,1.1,3.0,7.4,0.395,0.3,0.467,0.454,0.667,2010,1.05,55,58.04,0,0,0,0,1
Rudy Fernandez,24,68,5,43.0,4.6,11.3,3.4,8.1,1.2,3.2,2.4,2.9,0.9,3.4,4.3,3.3,1.2,0.2,2.0,2.6,14.9,0.407,0.42,0.375,0.558,0.828,2010,1.165,68,58.04,0,0,0,0,1
Rudy Gay,23,80,80,39.7,7.5,16.1,0.8,2.5,6.7,13.6,3.8,5.0,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,0.466,0.32,0.493,0.491,0.76,2010,3.281,78,58.04,0,0,0,1,0
Russell Westbrook,21,170,170,103.9,19.0,43.4,1.4,4.6,17.5,39.0,13.3,16.5,5.1,10.5,15.8,22.0,4.3,1.0,8.9,7.2,52.7,0.438,0.304,0.449,0.454,0.806,2010,3.756,77,58.04,0,0,1,0,0
Ryan Anderson,21,72,6,24.4,3.7,9.4,1.6,4.9,2.0,4.5,1.2,1.4,2.0,4.7,6.6,0.9,0.6,0.4,1.5,2.6,10.3,0.394,0.327,0.444,0.479,0.857,2010,1.317,59,58.04,0,1,0,0,0
Ryan Gomes,27,76,64,29.1,4.3,9.6,1.0,2.6,3.3,7.0,1.4,1.7,1.0,3.6,4.6,1.6,0.8,0.2,1.3,2.0,10.9,0.448,0.385,0.471,0.5,0.824,2010,3.868,66,58.04,0,0,0,1,0
Ryan Hollins,25,73,27,16.8,2.3,4.2,0.0,0.0,2.3,4.1,1.5,2.2,1.1,1.8,2.8,0.7,0.3,0.5,1.3,2.7,6.1,0.548,0.0,0.561,0.548,0.682,2010,2.183,54,58.04,1,0,0,0,0
Sam Young,24,80,1,16.5,2.8,6.2,0.1,0.7,2.7,5.5,1.7,2.2,1.0,1.6,2.5,0.7,0.4,0.3,1.2,1.3,7.4,0.452,0.143,0.491,0.46,0.773,2010,0.824,67,58.04,0,0,0,1,0
Samuel Dalembert,28,82,80,25.9,3.5,6.4,0.0,0.0,3.5,6.4,1.2,1.6,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1,0.547,0.0,0.547,0.547,0.75,2010,12.026,71,58.04,1,0,0,0,0
Sasha Vujacic,25,77,1,16.2,2.0,4.7,1.0,2.7,1.0,2.0,0.9,1.1,0.7,1.3,2.0,1.1,0.5,0.1,0.6,1.8,5.9,0.426,0.37,0.5,0.532,0.818,2010,5.0,69,58.04,0,0,0,0,1
Sean May,25,37,4,8.9,1.4,3.0,0.0,0.1,1.4,2.9,0.6,0.9,0.5,1.4,1.9,0.5,0.3,0.2,0.5,1.2,3.3,0.467,0.0,0.483,0.467,0.667,2010,0.885,57,58.04,1,0,0,0,0
Sean Williams,23,20,0,11.4,1.1,2.5,0.0,0.1,1.1,2.4,0.5,1.0,1.1,1.3,2.3,0.1,0.4,1.0,1.0,2.1,2.6,0.44,0.0,0.458,0.44,0.5,2010,1.629,64,58.04,0,1,0,0,0
