name,overall,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_%,3-point_field_goals,3-point_field_goal_attempts,3-point_field_goal_%,2-point_field_goals,2-point_field_goal_attempts,2-point_field_goal_%,effective_field_goal_%,free_throws,free_throw_attempts,free_throw_%,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,salary,salary_adjusted
LeBron James,93,81,250,81,85,87,88,74,70,36,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,39219566,46417307
Anthony Davis,93,82,253,83,87,84,64,81,77,27,36,36,1162,301,613,0.491,26,100,0.26,275,513,0.536,0.512,158,214,0.738,62,224,286,110,45,59,74,60,786,32742000,38750950
Giannis Antetokounmpo,93,83,242,80,84,85,82,78,84,26,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,27528088,32580159
Kawhi Leonard,93,79,230,88,76,81,78,84,56,29,52,52,1773,465,908,0.512,101,254,0.398,364,654,0.557,0.568,261,295,0.885,55,282,337,269,81,21,105,82,1292,34379100,40688498
Stephen Curry,92,75,190,92,58,81,89,67,55,32,63,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,43006362,50899072
James Harden,92,77,220,88,76,85,86,66,59,93,88,86,3218,684,1468,0.466,242,668,0.362,442,800,0.552,0.548,556,646,0.861,70,626,696,950,106,66,354,198,2166,41254920,48826198
Kevin Durant,92,82,240,90,79,77,79,70,58,32,35,32,1157,324,603,0.537,85,189,0.45,239,414,0.577,0.608,210,238,0.882,13,234,247,195,25,45,120,70,943,40108950,47469914
Damian Lillard,91,74,195,89,63,85,90,62,48,30,67,67,2398,602,1334,0.451,275,704,0.391,327,630,0.519,0.554,449,484,0.928,32,251,283,505,62,17,203,102,1928,31626953,37431265
Luka Doncic,90,79,218,85,77,82,86,63,75,21,66,66,2262,647,1351,0.479,192,548,0.35,455,803,0.567,0.55,344,471,0.73,54,473,527,567,64,36,281,152,1830,8049360,9526612
Kyrie Irving,90,74,193,90,62,79,88,63,47,28,54,54,1886,549,1086,0.506,152,378,0.402,397,708,0.561,0.576,201,218,0.922,52,205,257,324,76,37,130,140,1451,33722850,39911810
Nikola Jokic,90,84,250,88,88,76,78,64,85,25,72,72,2488,732,1293,0.566,92,237,0.388,640,1056,0.606,0.602,342,394,0.868,205,575,780,599,95,48,222,192,1898,29542010,34963685
Joel Embiid,90,84,250,85,86,77,55,71,88,26,51,51,1585,461,899,0.513,58,154,0.377,403,745,0.541,0.545,471,548,0.859,113,426,539,145,50,69,159,123,1451,29542010,34963685
Jimmy Butler,90,79,232,86,73,80,79,79,58,31,52,52,1745,366,736,0.497,25,102,0.245,341,634,0.538,0.514,359,416,0.863,94,265,359,369,108,18,109,71,1116,34379100,40688498
Paul George,89,80,220,82,72,81,76,80,56,30,54,54,1821,445,953,0.467,171,416,0.411,274,537,0.51,0.557,198,228,0.868,45,314,359,280,62,24,179,132,1259,35450412,41956422
Ben Simmons,88,82,230,70,82,85,80,79,60,24,58,58,1877,325,583,0.557,3,10,0.3,322,573,0.562,0.56,176,287,0.613,93,324,417,401,93,35,173,171,829,30559200,36167554
Trae Young,87,73,180,88,55,77,87,52,48,22,63,63,2125,487,1112,0.438,136,397,0.343,351,715,0.491,0.499,484,546,0.886,38,207,245,594,53,12,261,111,1594,6571800,7777884
Chris Paul,87,72,175,88,56,76,86,76,52,35,70,70,2199,439,879,0.499,102,258,0.395,337,621,0.543,0.557,169,181,0.934,25,287,312,622,99,19,156,166,1149,41358814,48949159
Karl-Anthony Towns,87,83,248,86,86,82,67,63,81,25,50,50,1689,425,875,0.486,122,315,0.387,303,560,0.541,0.555,267,311,0.859,133,396,529,225,39,57,160,186,1239,29467800,34875855
Russell Westbrook,87,75,200,79,71,88,86,70,66,32,65,65,2369,544,1238,0.439,86,273,0.315,458,965,0.475,0.474,271,413,0.656,109,641,750,763,89,23,312,190,1445,41358814,48949159
Jayson Tatum,87,80,208,86,72,78,73,77,66,22,64,64,2290,605,1318,0.459,187,485,0.386,418,833,0.502,0.53,295,340,0.868,50,422,472,276,75,31,171,122,1692,9897120,11713481
Donovan Mitchell,87,73,215,89,62,86,79,69,51,24,53,53,1771,478,1091,0.438,178,461,0.386,300,630,0.476,0.52,267,316,0.845,50,185,235,277,52,15,147,117,1401,5195501,6149001
Pascal Siakam,86,81,230,80,81,81,64,75,67,26,56,56,2006,437,961,0.455,73,246,0.297,364,715,0.509,0.493,249,301,0.827,95,310,405,250,64,37,130,174,1196,30559200,36167554
Bradley Beal,86,75,207,86,67,79,80,59,47,27,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,28751774,34028421
Rudy Gobert,86,85,245,66,75,63,43,75,88,28,71,71,2187,391,579,0.675,0,4,0.0,391,575,0.68,0.675,233,374,0.623,240,720,960,89,40,190,118,163,1015,27525281,32576837
Devin Booker,86,77,210,88,66,76,82,58,46,24,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,29467800,34875855
Khris Middleton,86,79,222,89,66,72,72,68,55,29,68,68,2269,511,1074,0.476,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385,33051724,39117516
Kemba Walker,85,72,184,84,54,80,86,62,43,30,43,43,1369,284,676,0.42,127,353,0.36,157,323,0.486,0.514,134,149,0.899,16,154,170,212,48,12,88,61,829,34379100,40688498
Brandon Ingram,85,79,190,84,75,73,73,61,57,23,61,61,2093,513,1101,0.466,143,375,0.381,370,726,0.51,0.531,281,320,0.878,34,265,299,296,42,36,154,124,1450,27285000,32292459
Andre Drummond,85,82,279,62,74,76,55,73,90,81,92,92,2484,564,1144,0.493,0,16,0.0,564,1128,0.5,0.493,246,410,0.6,332,770,1102,188,126,98,248,298,1374,28751774,34028421
Bam Adebayo,85,81,255,78,84,80,68,75,77,23,64,64,2143,456,800,0.57,2,8,0.25,454,792,0.573,0.571,283,354,0.799,142,431,573,346,75,66,169,145,1197,5115492,6054308
Kristaps Porzingis,85,87,240,83,84,75,48,65,81,25,43,43,1327,325,683,0.476,97,258,0.376,228,425,0.536,0.547,118,138,0.855,82,299,381,68,20,58,51,115,865,29467800,34875855
DeMar DeRozan,85,78,220,82,75,80,78,61,49,31,61,61,2056,455,920,0.495,19,74,0.257,436,846,0.515,0.505,387,440,0.88,40,219,259,422,56,15,119,128,1316,27739975,32830932
Jamal Murray,84,76,207,88,66,78,82,56,43,23,48,48,1704,378,792,0.477,129,316,0.408,249,476,0.523,0.559,133,153,0.869,37,157,194,231,64,13,108,95,1018,27285000,32292459
Zion Williamson,84,78,285,77,83,86,67,61,70,20,61,61,2026,634,1037,0.611,10,34,0.294,624,1003,0.622,0.616,369,529,0.698,167,274,441,226,57,39,167,135,1647,10245480,12125773
Kyle Lowry,84,72,196,83,53,82,85,75,49,34,46,46,1601,260,596,0.436,131,331,0.396,129,265,0.487,0.546,140,160,0.875,35,212,247,338,45,14,126,143,791,30500000,36097489
Hassan Whiteside,84,84,265,68,73,67,40,65,89,31,36,4,546,126,224,0.562,0,1,0.0,126,223,0.565,0.562,41,79,0.519,61,154,215,20,9,46,40,73,293,2320044,2745828
Tobias Harris,84,80,235,85,74,73,68,55,56,28,62,62,2014,473,924,0.512,82,208,0.394,391,716,0.546,0.556,182,204,0.892,62,357,419,220,55,51,107,119,1210,34358850,40664532
John Collins,84,81,235,85,80,76,51,61,75,23,63,63,1848,429,771,0.556,83,208,0.399,346,563,0.615,0.61,170,204,0.833,118,349,467,78,34,63,84,193,1111,4137302,4896597
John Wall,83,76,210,77,60,82,85,70,40,30,40,40,1288,293,726,0.404,79,249,0.317,214,477,0.449,0.458,158,211,0.749,17,112,129,275,42,31,141,46,823,41254920,48826198
DeMarcus Cousins,83,82,270,75,87,74,68,62,70,90,82,22,1426,260,610,0.426,94,270,0.348,166,340,0.488,0.503,118,162,0.728,106,420,526,152,68,48,128,214,732,3051832,3611916
Jrue Holiday,83,75,205,70,53,73,75,76,46,30,59,56,1907,414,823,0.503,111,283,0.392,303,540,0.561,0.57,107,136,0.787,73,195,268,357,96,37,127,98,1046,27026011,31985939
LaMarcus Aldridge,83,83,260,86,80,68,48,61,68,105,52,46,1348,280,592,0.473,62,160,0.388,218,432,0.505,0.525,82,94,0.872,38,198,236,98,22,58,54,94,704,17628340,20863567
Domantas Sabonis,83,83,240,80,78,67,58,44,80,24,62,62,2231,484,904,0.535,52,162,0.321,432,742,0.582,0.564,240,328,0.732,150,592,742,415,76,33,213,203,1260,19800000,23433780
Ja Morant,83,75,175,82,58,80,84,60,48,21,63,63,2053,430,957,0.449,73,241,0.303,357,716,0.499,0.487,271,372,0.728,59,193,252,465,57,13,203,87,1204,9166800,10849130
De'Aaron Fox,83,75,175,79,54,82,86,66,45,23,58,58,2036,529,1110,0.477,103,320,0.322,426,790,0.539,0.523,300,417,0.719,33,170,203,417,87,27,174,170,1461,8099627,9586104
Nikola Vucevic,83,83,260,85,82,71,59,57,84,90,140,140,4696,1332,2792,0.477,352,880,0.4,980,1912,0.513,0.54,262,312,0.84,292,1342,1634,538,130,96,252,274,3278,26000000,30771630
D'Angelo Russell,83,76,198,85,58,74,83,58,42,24,42,26,1196,281,652,0.431,120,310,0.387,161,342,0.471,0.523,114,149,0.765,16,95,111,244,45,18,112,68,796,28649250,33907081
Zach LaVine,83,78,200,80,69,81,80,61,53,25,58,58,2034,569,1123,0.507,200,477,0.419,369,646,0.571,0.596,253,298,0.849,36,253,289,282,46,27,203,138,1591,19500000,23078722
Jaylen Brown,83,78,220,84,69,80,71,72,58,24,58,58,1999,538,1111,0.484,163,411,0.397,375,700,0.536,0.558,191,250,0.764,71,276,347,195,72,32,158,168,1430,25035118,29629669
Deandre Ayton,83,83,250,79,80,78,54,63,85,22,69,69,2115,430,687,0.626,4,20,0.2,426,667,0.639,0.629,133,173,0.769,228,499,727,99,41,81,103,196,997,10018200,11856782
Shai Gilgeous-Alexander,83,77,181,86,67,77,79,67,56,22,35,35,1180,287,565,0.508,71,170,0.418,216,395,0.547,0.571,185,229,0.808,19,147,166,207,27,23,106,70,830,4141320,4901352
Steven Adams,82,83,265,63,72,67,50,69,83,27,58,58,1605,189,308,0.614,0,3,0.0,189,305,0.62,0.614,60,135,0.444,213,301,514,111,54,38,78,113,438,29592695,35023672
Eric Bledsoe,82,73,205,76,50,78,80,73,47,31,71,70,2111,307,730,0.421,121,355,0.341,186,375,0.496,0.503,134,195,0.687,29,215,244,268,55,24,114,112,869,16875000,19971971
Montrezl Harrell,82,79,240,71,83,76,47,63,70,27,69,1,1580,375,603,0.622,0,10,0.0,375,593,0.632,0.622,181,256,0.707,158,270,428,73,46,49,74,128,931,9258000,10957067
Blake Griffin,82,81,250,71,82,82,69,59,54,93,92,60,2372,348,822,0.423,140,410,0.341,208,412,0.505,0.509,174,234,0.744,70,380,450,280,64,30,124,222,1010,33900241,40121756
Kevin Love,82,80,251,84,74,70,56,53,73,32,25,25,622,103,252,0.409,57,156,0.365,46,96,0.479,0.522,42,51,0.824,17,169,186,63,16,2,38,26,305,31258256,36994903
Clint Capela,82,82,240,64,71,75,35,67,86,26,63,63,1898,413,695,0.594,0,0,,413,695,0.594,0.594,130,227,0.573,297,606,903,49,44,129,73,145,956,18000000,21303436
Victor Oladipo,82,76,210,79,62,79,75,72,48,112,66,66,2160,470,1152,0.408,156,478,0.326,314,674,0.466,0.476,208,276,0.754,24,296,320,302,92,28,166,162,1304,21000000,24854009
Andrew Wiggins,82,79,194,77,70,82,72,60,47,25,71,71,2364,505,1058,0.477,140,368,0.38,365,690,0.529,0.543,170,238,0.714,82,265,347,167,67,70,126,159,1320,29542010,34963685
Jusuf Nurkic,82,84,275,77,75,62,51,61,86,26,37,37,880,171,333,0.514,12,30,0.4,159,303,0.525,0.532,70,113,0.619,86,246,332,125,38,39,73,103,424,12888889,15254312
Spencer Dinwiddie,82,77,210,80,61,73,84,59,48,27,3,3,64,6,16,0.375,2,7,0.286,4,9,0.444,0.438,6,6,1.0,0,13,13,9,2,1,5,4,20,11454048,13556143
Danilo Gallinari,82,82,225,85,74,69,63,55,53,32,51,4,1222,206,475,0.434,103,254,0.406,103,221,0.466,0.542,161,174,0.925,17,194,211,76,30,10,43,105,676,19500000,23078722
Gordon Hayward,82,79,225,86,61,75,74,61,53,30,44,44,1496,311,658,0.473,85,205,0.415,226,453,0.499,0.537,156,185,0.843,37,221,258,181,52,14,91,74,863,28500000,33730441
Marcus Smart,81,75,220,65,49,78,66,78,42,26,48,45,1581,203,510,0.398,93,282,0.33,110,228,0.482,0.489,128,162,0.79,36,131,167,273,72,23,96,126,627,12946428,15322411
Buddy Hield,81,76,214,83,57,72,73,55,49,28,71,71,2433,403,992,0.406,282,721,0.391,121,271,0.446,0.548,88,104,0.846,29,305,334,257,63,30,130,175,1176,24931817,29507409
Jonas Valanciunas,81,83,265,81,74,69,41,56,83,28,62,61,1755,440,743,0.592,21,57,0.368,419,686,0.611,0.606,157,203,0.773,253,523,776,112,35,57,100,179,1058,15000000,17752863
Al Horford,81,81,245,76,70,71,63,69,60,34,28,28,782,162,360,0.45,56,152,0.368,106,208,0.51,0.528,18,22,0.818,29,159,188,94,25,26,29,48,398,27500000,32546916
Derrick Rose,81,74,200,85,59,79,84,56,40,96,100,6,2558,574,1222,0.47,100,258,0.388,474,964,0.492,0.511,220,254,0.866,40,220,260,418,98,38,156,112,1468,7682926,9092929
Aaron Gordon,81,80,220,74,78,78,62,70,65,75,100,100,2768,462,998,0.463,118,352,0.335,344,646,0.533,0.522,194,298,0.651,154,414,568,322,66,68,194,178,1236,18136364,21464826
Fred VanVleet,81,73,195,82,48,74,83,68,39,26,52,52,1899,338,870,0.389,174,476,0.366,164,394,0.416,0.489,169,191,0.885,32,188,220,328,87,37,95,119,1019,21250000,25149890
Malcolm Brogdon,81,77,229,84,60,76,83,64,48,28,56,56,1930,444,980,0.453,145,374,0.388,299,606,0.493,0.527,153,177,0.864,58,236,294,329,49,15,115,110,1186,20700000,24498951
DeAndre Jordan,80,83,265,52,68,76,40,64,85,32,57,43,1246,190,249,0.763,0,1,0.0,190,248,0.766,0.763,46,92,0.5,117,310,427,93,17,65,85,116,426,10375678,12279866
Tristan Thompson,80,81,238,73,69,71,44,59,83,29,54,43,1287,169,326,0.518,0,3,0.0,169,323,0.523,0.518,71,120,0.592,169,270,439,67,24,33,62,119,409,9258000,10957067
Draymond Green,80,78,230,63,62,76,77,74,56,30,63,63,1982,170,380,0.447,34,126,0.27,136,254,0.535,0.492,70,88,0.795,55,394,449,558,105,52,188,194,444,22246956,26329811
Mitchell Robinson,80,84,240,66,69,64,42,69,81,22,31,29,853,115,176,0.653,0,0,,115,176,0.653,0.653,26,53,0.491,113,139,252,17,35,45,26,86,256,1663861,1969219
Evan Fournier,80,79,205,84,52,67,71,57,36,84,84,72,2518,494,1082,0.457,234,566,0.413,260,516,0.504,0.565,216,274,0.788,20,236,256,288,94,38,146,192,1438,17150000,20297440
Brandon Clarke,80,80,207,81,69,79,57,67,69,24,59,16,1415,256,495,0.517,20,77,0.26,236,418,0.565,0.537,78,113,0.69,97,231,328,95,60,51,33,84,610,2602920,3080618
Jarrett Allen,80,83,237,67,74,77,35,65,81,66,126,90,3728,596,964,0.618,12,38,0.316,584,926,0.631,0.624,408,580,0.703,392,870,1262,212,64,180,200,192,1612,3909902,4627463
Dejounte Murray,80,76,170,78,58,70,78,75,61,24,67,67,2139,441,974,0.453,63,199,0.317,378,775,0.488,0.485,106,134,0.791,58,415,473,363,101,7,117,135,1051,14286000,16907827
Bojan Bogdanovic,80,80,216,82,62,71,63,58,55,31,72,72,2216,406,925,0.439,180,461,0.39,226,464,0.487,0.536,233,265,0.879,40,241,281,136,45,4,128,115,1225,17850000,21125907
Lauri Markkanen,80,84,240,78,72,63,52,52,60,23,51,26,1317,250,521,0.48,119,296,0.402,131,225,0.582,0.594,76,92,0.826,35,233,268,45,26,15,52,75,695,6731508,7966902
Julius Randle,80,80,250,77,78,76,64,56,76,26,71,71,2667,602,1321,0.456,160,389,0.411,442,932,0.474,0.516,348,429,0.811,84,639,723,427,64,18,241,225,1712,19845000,23487038
Caris LeVert,80,78,204,80,67,74,74,59,45,78,94,78,2972,718,1628,0.441,168,516,0.326,550,1112,0.495,0.493,292,360,0.811,66,362,428,490,132,60,204,210,1896,16203704,19177476
Paul Millsap,80,79,246,76,74,71,59,70,65,35,56,36,1162,191,401,0.476,49,143,0.343,142,258,0.55,0.537,71,98,0.724,76,186,262,98,51,36,51,111,502,10100000,11953594
Collin Sexton,80,73,190,83,52,78,77,56,40,22,60,60,2115,525,1105,0.475,98,264,0.371,427,841,0.508,0.519,312,383,0.815,58,129,187,262,62,10,167,157,1460,4991880,5908011
Derrick White,80,76,190,82,50,73,80,63,44,26,36,32,1064,186,453,0.411,84,243,0.346,102,210,0.486,0.503,97,114,0.851,13,94,107,127,26,36,45,91,553,3516284,4161607
Dwight Howard,79,82,265,58,67,71,36,64,85,35,69,6,1196,178,303,0.587,5,20,0.25,173,283,0.611,0.596,121,210,0.576,190,390,580,61,30,62,112,200,482,2564753,3035447
Davis Bertans,79,82,225,83,63,63,47,53,49,28,57,7,1464,193,478,0.404,169,428,0.395,24,50,0.48,0.581,100,115,0.87,18,150,168,49,33,13,33,136,655,15000000,17752863
Ricky Rubio,79,75,190,79,46,66,82,60,47,30,68,51,1772,193,498,0.388,66,214,0.308,127,284,0.447,0.454,130,150,0.867,28,195,223,433,98,4,111,139,582,17000000,20119912
Brook Lopez,79,84,270,80,75,59,41,70,50,32,70,70,1902,322,640,0.503,95,281,0.338,227,359,0.632,0.577,120,142,0.845,104,243,347,50,40,103,64,149,859,12697675,15028006
Seth Curry,79,74,185,86,44,71,68,45,39,30,57,57,1638,258,552,0.467,126,280,0.45,132,272,0.485,0.582,69,77,0.896,10,126,136,155,44,8,65,96,711,7834449,9272260
Carmelo Anthony,79,80,240,82,69,73,65,51,53,36,69,3,1690,327,777,0.421,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,2564753,3035447
OG Anunoby,79,79,232,71,56,76,55,75,52,23,43,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682,3872215,4582860
Robert Covington,79,79,225,73,61,70,61,79,58,30,70,70,2243,204,509,0.401,135,356,0.379,69,153,0.451,0.533,50,62,0.806,61,405,466,117,101,84,64,195,593,12138345,14366025
Serge Ibaka,79,84,235,83,73,69,41,62,73,31,41,39,955,186,365,0.51,39,115,0.339,147,250,0.588,0.563,43,53,0.811,73,202,275,74,9,47,44,76,454,9258000,10957067
Goran Dragic,79,75,190,81,55,72,80,57,44,34,50,11,1337,240,555,0.432,91,244,0.373,149,311,0.479,0.514,101,122,0.828,25,144,169,219,33,8,118,113,672,18000000,21303436
Donte DiVincenzo,79,76,203,70,51,77,71,73,54,24,66,66,1814,253,603,0.42,131,346,0.379,122,257,0.475,0.528,51,71,0.718,81,299,380,203,72,15,91,112,688,3044160,3602837
Will Barton,79,77,190,79,58,70,71,61,55,30,56,52,1736,259,608,0.426,98,257,0.381,161,351,0.459,0.507,95,121,0.785,39,187,226,181,50,23,96,95,711,13723214,16241756
Eric Paschall,79,78,254,79,72,76,61,51,52,24,40,2,695,148,298,0.497,18,54,0.333,130,244,0.533,0.527,67,94,0.713,28,100,128,51,12,7,43,68,381,1517981,1796567
Josh Richardson,79,77,200,80,54,75,68,71,42,27,59,56,1790,264,618,0.427,88,267,0.33,176,351,0.501,0.498,99,108,0.917,51,144,195,153,61,24,79,130,715,10865952,12860117
Christian Wood,79,82,214,81,67,63,41,57,76,25,41,41,1326,329,640,0.514,77,206,0.374,252,434,0.581,0.574,125,198,0.631,76,319,395,71,34,48,80,88,860,13015874,15404602
Bogdan Bogdanovic,79,78,205,83,61,70,72,54,41,28,44,27,1305,267,565,0.473,146,333,0.438,121,232,0.522,0.602,40,44,0.909,20,140,160,147,49,13,54,99,720,18000000,21303436
Rui Hachimura,79,80,235,81,75,81,55,50,62,22,57,57,1797,310,648,0.478,45,137,0.328,265,511,0.519,0.513,124,161,0.77,49,263,312,82,44,7,68,120,789,4692840,5554089
Rudy Gay,79,80,230,78,71,75,63,54,62,34,63,1,1358,264,628,0.42,106,278,0.381,158,350,0.451,0.505,82,102,0.804,42,261,303,88,45,40,65,115,716,14500000,17161101
Jabari Parker,79,80,245,75,79,77,60,61,64,75,26,0,330,60,110,0.545,4,22,0.182,56,88,0.636,0.564,20,26,0.769,20,64,84,22,2,10,20,26,144,6930729,8202685
Harrison Barnes,79,80,225,76,67,77,65,57,47,28,58,58,2102,319,642,0.497,100,256,0.391,219,386,0.567,0.575,195,235,0.83,64,321,385,201,43,11,93,75,933,22215909,26293066
Bobby Portis,79,82,250,81,72,67,47,55,63,25,66,7,1372,313,598,0.523,74,157,0.471,239,441,0.542,0.585,54,73,0.74,124,342,466,71,52,26,56,115,754,3623000,4287908
Patrick Beverley,78,73,185,64,45,77,74,75,58,32,37,34,832,93,220,0.423,56,141,0.397,37,79,0.468,0.55,36,45,0.8,29,90,119,76,29,28,34,108,278,13333333,15780322
Eric Gordon,78,75,215,78,61,77,64,57,34,32,27,13,789,159,367,0.433,69,210,0.329,90,157,0.573,0.527,94,114,0.825,8,50,58,71,14,13,51,44,481,16869267,19965186
Aron Baynes,78,82,260,83,71,63,46,57,73,34,53,31,980,134,304,0.441,27,103,0.262,107,201,0.532,0.485,29,41,0.707,87,186,273,47,17,23,46,119,324,7000000,8284669
JJ Redick,78,75,200,84,47,64,63,52,42,108,88,0,1446,212,534,0.397,132,356,0.371,80,178,0.449,0.521,98,104,0.942,8,120,128,102,22,6,72,100,654,13013700,15402029
Lonzo Ball,78,78,190,61,52,73,83,72,52,23,55,55,1747,290,700,0.414,172,455,0.378,118,245,0.482,0.537,50,64,0.781,33,230,263,316,82,31,123,103,802,11003782,13023242
Jordan Clarkson,78,76,194,80,55,76,73,51,43,28,68,1,1818,457,1075,0.425,208,599,0.347,249,476,0.523,0.522,129,144,0.896,47,227,274,168,61,10,115,110,1251,11500000,13610528
Myles Turner,78,83,250,79,74,69,39,66,67,24,47,47,1455,206,432,0.477,69,206,0.335,137,226,0.606,0.557,111,142,0.782,63,243,306,48,40,159,67,165,592,18000000,21303436
Cody Zeller,78,84,240,76,72,72,50,53,79,28,48,21,1005,181,324,0.559,4,28,0.143,177,296,0.598,0.565,85,119,0.714,119,209,328,86,27,17,51,121,451,15415730,18244890
Luke Kennard,78,77,206,84,52,67,72,45,40,24,63,17,1232,197,414,0.476,100,224,0.446,97,190,0.511,0.597,26,31,0.839,15,146,161,104,23,9,48,91,520,5273826,6241700
Nemanja Bjelica,78,82,234,81,61,67,59,53,63,96,74,6,1190,178,392,0.454,54,170,0.318,124,222,0.559,0.523,74,102,0.725,58,196,254,138,30,10,66,136,484,7150000,8462198
Maxi Kleber,78,82,240,74,69,62,54,64,56,29,50,40,1341,116,275,0.422,87,212,0.41,29,63,0.46,0.58,34,37,0.919,47,213,260,68,24,35,30,105,353,8475000,10030367
Richaun Holmes,78,82,235,76,72,70,43,57,78,27,61,61,1782,366,575,0.637,2,11,0.182,364,564,0.645,0.638,135,170,0.794,144,360,504,101,39,96,75,213,869,5005350,5923953
Dario Saric,78,82,223,73,63,68,63,55,61,26,50,4,871,153,342,0.447,47,135,0.348,106,207,0.512,0.516,84,99,0.848,46,144,190,65,30,4,57,95,437,9250000,10947599
Mikal Bridges,78,78,210,69,54,75,62,71,48,24,72,72,2348,363,669,0.543,134,315,0.425,229,354,0.647,0.643,110,131,0.84,76,233,309,152,76,63,57,116,970,4359000,5158982
Ivica Zubac,78,84,240,71,69,59,46,53,85,23,72,33,1609,257,394,0.652,1,4,0.25,256,390,0.656,0.654,135,171,0.789,189,330,519,90,24,62,81,187,650,7000000,8284669
Markelle Fultz,78,75,200,75,63,76,81,61,42,22,8,8,215,41,104,0.394,4,16,0.25,37,88,0.42,0.413,17,19,0.895,5,20,25,43,8,2,18,18,103,12288697,14543970
George Hill,78,75,188,79,52,75,77,63,49,102,60,34,1344,190,394,0.482,62,160,0.388,128,234,0.547,0.561,80,100,0.8,32,90,122,146,46,10,62,62,522,9590602,11350709
Jalen Brunson,78,73,190,82,59,72,82,53,43,24,68,12,1697,328,627,0.523,81,200,0.405,247,427,0.578,0.588,120,151,0.795,27,204,231,239,35,1,80,109,857,1663861,1969219
Derrick Favors,78,81,265,66,69,69,47,59,86,29,68,0,1039,155,243,0.638,0,2,0.0,155,241,0.643,0.638,59,80,0.738,138,238,376,44,32,68,36,143,369,9258000,10957067
Mike Conley,78,73,175,78,46,73,79,62,42,33,51,51,1498,284,640,0.444,138,335,0.412,146,305,0.479,0.552,121,142,0.852,36,141,177,305,70,9,99,98,827,34502132,40834109
JaVale McGee,78,84,270,66,69,68,32,64,81,99,92,4,1356,288,564,0.511,10,48,0.208,278,516,0.539,0.52,88,134,0.657,154,324,478,78,38,108,120,242,674,4200000,4970801
Mason Plumlee,78,83,235,68,76,68,59,62,78,30,56,56,1499,234,381,0.614,0,7,0.0,234,374,0.626,0.614,113,169,0.669,145,374,519,202,43,50,105,186,581,8000000,9468193
Norman Powell,78,75,215,82,53,76,61,66,42,81,138,116,4410,876,1836,0.477,342,832,0.411,534,1004,0.532,0.57,472,542,0.871,84,346,430,258,164,36,238,320,2566,10865952,12860117
