Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
317,Cody Martin,SF,25,CHO,52,10,16.3,1.6,3.6,.441,0.3,1.1,.276,1.3,2.5,.515,.484,0.5,0.8,.581,1.0,2.1,3.1,1.7,0.7,0.2,0.8,1.0,4.0,martico01
318,Jeremiah Martin,PG,24,CLE,9,0,8.3,1.0,3.7,.273,0.3,1.3,.250,0.7,2.3,.286,.318,0.1,0.6,.200,0.2,0.6,0.8,0.4,0.6,0.2,0.7,0.1,2.4,martije02
319,Kelan Martin,SF,25,IND,35,0,9.2,1.8,3.9,.449,0.7,1.7,.400,1.1,2.2,.487,.536,0.3,0.3,.900,0.5,1.7,2.2,0.5,0.3,0.3,0.5,1.0,4.5,martike03
320,KJ Martin,SF,20,HOU,45,8,23.7,3.6,7.1,.509,0.8,2.1,.365,2.8,4.9,.572,.564,1.3,1.9,.714,1.6,3.8,5.4,1.1,0.7,0.9,0.8,2.0,9.3,martike04
321,Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3,masonfr01
322,Garrison Mathews,SG,24,WAS,64,24,16.2,1.5,3.7,.409,1.2,3.1,.384,0.3,0.6,.538,.570,1.3,1.5,.884,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5,mathega01
323,Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0,mathida01
324,Wesley Matthews,SG,34,LAL,58,10,19.5,1.5,4.3,.353,1.1,3.4,.335,0.4,0.9,.418,.484,0.6,0.7,.854,0.3,1.3,1.6,0.9,0.7,0.3,0.4,1.4,4.8,matthwe02
325,Tyrese Maxey,SG,20,PHI,61,8,15.3,3.2,7.0,.462,0.5,1.7,.301,2.7,5.3,.512,.498,1.0,1.1,.871,0.2,1.5,1.7,2.0,0.4,0.2,0.7,1.3,8.0,maxeyty01
326,Skylar Mays,SG,23,ATL,33,0,8.2,1.3,3.0,.449,0.4,1.2,.350,0.9,1.8,.517,.520,0.7,0.8,.880,0.3,0.8,1.1,0.9,0.4,0.1,0.3,0.5,3.8,mayssk01
327,Patrick McCaw,SF,25,TOR,5,0,6.6,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.6,0.6,1.000,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0,mccawpa01
328,CJ McCollum,SG,29,POR,47,47,34.0,8.6,18.8,.458,3.6,8.9,.402,5.0,9.9,.509,.554,2.3,2.8,.812,0.6,3.3,3.9,4.7,0.9,0.4,1.4,1.9,23.1,mccolcj01
329,T.J. McConnell,PG,28,IND,69,3,26.0,4.0,7.1,.559,0.2,0.7,.313,3.8,6.4,.586,.574,0.5,0.7,.688,0.8,2.9,3.7,6.6,1.9,0.3,2.0,1.6,8.6,mccontj01
330,Jaden McDaniels,PF,20,MIN,63,27,24.0,2.6,5.8,.447,1.1,3.1,.364,1.5,2.7,.544,.545,0.4,0.7,.600,0.8,2.9,3.7,1.1,0.6,1.0,0.7,2.7,6.8,mcdanja02
331,Jalen McDaniels,SF,23,CHO,47,18,19.2,2.8,6.0,.468,0.7,2.2,.333,2.1,3.8,.547,.530,1.0,1.4,.703,1.0,2.6,3.6,1.1,0.6,0.4,1.0,2.0,7.4,mcdanja01
332,Doug McDermott,PF,29,IND,66,29,24.5,5.4,10.1,.532,1.7,4.3,.388,3.7,5.7,.641,.616,1.2,1.5,.816,0.9,2.4,3.3,1.3,0.3,0.1,0.8,1.8,13.6,mcderdo01
333,Sean McDermott,SF,24,MEM,18,0,8.8,0.7,1.8,.394,0.3,1.2,.227,0.4,0.6,.727,.470,0.4,0.4,1.000,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2,mcderse01
334,JaVale McGee,C,33,TOT,46,2,14.7,3.1,6.1,.511,0.1,0.5,.208,3.0,5.6,.539,.520,1.0,1.5,.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3,mcgeeja01
334,JaVale McGee,C,33,CLE,33,1,15.2,3.4,6.5,.521,0.2,0.6,.250,3.2,5.9,.549,.533,1.1,1.7,.655,1.6,3.5,5.2,1.0,0.5,1.2,1.4,2.4,8.0,mcgeeja01
334,JaVale McGee,C,33,DEN,13,1,13.5,2.5,5.2,.478,0.0,0.3,.000,2.5,4.8,.508,.478,0.6,0.9,.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5,mcgeeja01
335,Rodney McGruder,SG,29,DET,16,2,12.1,2.3,4.4,.529,0.7,1.5,.458,1.6,2.9,.565,.607,0.4,0.5,.750,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7,mcgruro01
336,Alfonzo McKinnie,SF,28,LAL,39,0,6.6,1.2,2.4,.516,0.4,1.0,.410,0.8,1.4,.593,.602,0.3,0.5,.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,0.7,3.1,mckinal01
337,Jordan McLaughlin,PG,24,MIN,51,2,18.4,2.0,4.7,.413,0.6,1.8,.359,1.3,2.9,.447,.481,0.5,0.6,.767,0.4,1.7,2.1,3.8,1.0,0.1,1.0,0.9,5.0,mclaujo01
338,Ben McLemore,SG,27,TOT,53,5,17.1,2.5,6.9,.370,1.8,5.3,.346,0.7,1.6,.447,.503,0.7,1.0,.736,0.3,1.6,1.9,0.7,0.4,0.2,0.8,1.7,7.7,mclembe01
338,Ben McLemore,SG,27,HOU,32,4,16.8,2.5,7.0,.357,1.7,5.2,.331,0.8,1.8,.431,.480,0.7,1.0,.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4,mclembe01
338,Ben McLemore,SG,27,LAL,21,1,17.5,2.6,6.7,.390,2.0,5.4,.368,0.6,1.3,.481,.539,0.8,1.0,.762,0.2,1.4,1.6,0.5,0.1,0.3,0.7,1.8,8.0,mclembe01
339,Nicolò Melli,PF,30,TOT,45,4,12.6,1.0,3.1,.326,0.5,1.9,.271,0.5,1.2,.411,.408,0.4,0.6,.760,0.6,2.1,2.7,1.0,0.3,0.1,0.3,1.3,3.0,mellini01
339,Nicolò Melli,PF,30,NOP,22,0,11.0,0.7,2.7,.254,0.3,1.7,.189,0.4,1.0,.364,.314,0.3,0.3,.857,0.5,2.0,2.6,1.1,0.4,0.0,0.3,1.3,2.0,mellini01
339,Nicolò Melli,PF,30,DAL,23,4,14.1,1.3,3.6,.378,0.7,2.1,.333,0.7,1.5,.441,.476,0.6,0.8,.722,0.7,2.1,2.8,0.8,0.2,0.1,0.2,1.3,4.0,mellini01
340,De'Anthony Melton,PG,22,MEM,52,1,20.1,3.3,7.6,.438,1.7,4.1,.412,1.6,3.5,.467,.548,0.8,1.0,.804,0.6,2.5,3.1,2.5,1.2,0.6,1.3,1.6,9.1,meltode01
341,Sam Merrill,SG,24,MIL,30,2,7.8,1.1,2.4,.444,0.7,1.6,.447,0.4,0.8,.440,.590,0.1,0.1,1.000,0.2,0.8,1.0,0.7,0.3,0.0,0.3,0.6,3.0,merrisa01
342,Chimezie Metu,C,23,SAC,36,6,13.6,2.5,5.0,.508,0.4,1.0,.351,2.2,3.9,.549,.545,0.9,1.2,.721,0.9,2.3,3.1,0.8,0.4,0.5,0.8,1.6,6.3,metuch01
343,Khris Middleton,SF,29,MIL,68,68,33.4,7.5,15.8,.476,2.2,5.4,.414,5.3,10.4,.508,.546,3.1,3.5,.898,0.8,5.2,6.0,5.4,1.1,0.1,2.6,2.4,20.4,middlkh01
344,Darius Miller,SF,30,OKC,18,0,10.9,1.2,2.7,.458,0.9,2.3,.405,0.3,0.3,.833,.635,0.7,0.7,1.000,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1,milleda01
345,Patty Mills,PG,32,SAS,68,1,24.8,3.7,9.0,.412,2.4,6.3,.375,1.3,2.7,.500,.544,1.0,1.1,.910,0.3,1.4,1.7,2.4,0.6,0.0,1.0,1.2,10.8,millspa02
346,Paul Millsap,PF,35,DEN,56,36,20.8,3.4,7.2,.476,0.9,2.6,.343,2.5,4.6,.550,.537,1.3,1.8,.724,1.4,3.3,4.7,1.8,0.9,0.6,0.9,2.0,9.0,millspa01
347,Shake Milton,SG,24,PHI,63,4,23.2,4.8,10.6,.450,1.1,3.2,.350,3.6,7.4,.494,.503,2.3,2.8,.830,0.5,1.8,2.3,3.1,0.6,0.3,1.6,2.1,13.0,miltosh01
348,Donovan Mitchell,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4,mitchdo01
349,Adam Mokoka,SG,22,CHI,14,0,4.0,0.5,1.4,.368,0.1,0.7,.100,0.4,0.6,.667,.395,0.0,0.1,.000,0.1,0.3,0.4,0.4,0.1,0.1,0.4,0.4,1.1,mokokad01
350,Malik Monk,SG,22,CHO,42,0,20.9,4.1,9.5,.434,2.0,5.0,.401,2.1,4.5,.471,.540,1.4,1.7,.819,0.3,2.1,2.4,2.1,0.5,0.1,1.3,1.1,11.7,monkma01
351,E'Twaun Moore,SG,31,PHO,27,1,14.4,2.0,4.5,.455,0.4,1.3,.314,1.6,3.2,.512,.500,0.4,0.5,.857,0.5,1.1,1.7,1.5,0.6,0.2,0.9,1.2,4.9,mooreet01
352,Ja Morant,PG,21,MEM,63,63,32.6,6.8,15.2,.449,1.2,3.8,.303,5.7,11.4,.499,.487,4.3,5.9,.728,0.9,3.1,4.0,7.4,0.9,0.2,3.2,1.4,19.1,moranja01
353,Juwan Morgan,PF,23,UTA,29,0,5.1,0.5,1.0,.467,0.1,0.4,.308,0.3,0.6,.588,.533,0.1,0.2,.429,0.3,0.7,1.0,0.3,0.1,0.0,0.1,0.7,1.2,morgaju01
354,Marcus Morris,PF,31,LAC,57,29,26.4,4.8,10.2,.473,2.5,5.2,.473,2.4,5.1,.472,.592,1.3,1.6,.820,0.6,3.5,4.1,1.0,0.6,0.3,1.0,2.1,13.4,morrima03
355,Markieff Morris,PF,31,LAL,61,27,19.7,2.5,6.2,.405,1.1,3.4,.311,1.4,2.8,.521,.491,0.6,0.8,.720,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7,morrima02
356,Monte Morris,PG,25,DEN,47,13,25.4,4.0,8.2,.481,1.1,2.9,.381,2.9,5.4,.534,.547,1.2,1.6,.795,0.2,1.8,2.0,3.2,0.7,0.3,0.7,1.0,10.2,morrimo01
357,Mychal Mulder,PG,26,GSW,60,6,12.8,2.0,4.4,.449,1.4,3.6,.397,0.6,0.9,.667,.609,0.2,0.4,.636,0.1,0.9,1.0,0.4,0.2,0.2,0.3,0.9,5.6,muldemy01
358,Dejounte Murray,PG,24,SAS,67,67,31.9,6.6,14.5,.453,0.9,3.0,.317,5.6,11.6,.488,.485,1.6,2.0,.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,2.0,15.7,murrade01
359,Jamal Murray,PG,23,DEN,48,4
