player,2020,2021,2022,2023
Jaxson Hayes,4767000,5500000,5845978,6803012
Khem Birch,4767000,5448840,5837760,6667500
Bennedict Mathurin,4767000,5406255,5573333,6586800
Patrick Mills,4767000,5345687,5572680,6479000
Bruce Brown,4767000,5307120,5557725,6479000
Lonnie Walker,4767000,5273826,5495532,6479000
Caleb Martin,4767000,5214583,5466360,6479000
Joe Ingles,4767000,5195501,5421493,6479000
Onyeka Okongwu,4767000,5192307,5348280,6395160
Josh Giddey,4764960,5115492,5333334,6287400
Rui Hachimura,4469160,5109637,5317430,6263188
Rudy Gay,4464286,5105160,5275491,6184500
Jevon Carter,4463640,5005350,5258735,6025000
Shaedon Sharpe,4444746,5005350,5256308,6012960
Cameron Payne,4380120,5005350,5214583,6000000
Otto Porter,4245720,5005350,5200000,6000000
Justin Holiday,4240200,5000000,5178572,5987975
Cam Reddish,4161000,5000000,5170564,5954454
Cameron Johnson,4160000,5000000,5105160,5887899
Ricky Rubio,4102564,4991880,5007840,5853659
Killian Hayes,4033440,4938273,5005350,5837760
PJ Washington,4028400,4862040,5000000,5808435
Jonathan Kuminga,4000000,4821429,5000000,5739840
Pat Connaughton,4000000,4767000,5000000,5728393
Tyler Herro,4000000,4767000,5000000,5722116
Romeo Langford,4000000,4767000,5000000,5634257
Dyson Daniels,3952920,4767000,4997424,5508600
JaVale McGee,3831840,4692840,4916160,5461219
Goga Bitadze,3827160,4642800,4910000,5377520
Obi Toppin,3755400,4588680,4910000,5348280
Franz Wagner,3754885,4548280,4878049,5258280
Kendrick Nunn,3640200,4469160,4736102,5250000
Hamidou Diallo,3635760,4458000,4692840,5200000
Cory Joseph,3623000,4431423,4675830,5155500
Garrett Temple,3581986,4359000,4670160,5155500
Torrey Craig,3569643,4245720,4650000,5121951
Jeremy Sochan,3567720,4235160,4629630,5063520
David Nwaba,3540000,4200000,4603200,5022000
Nickeil Alexander-Walker,3529554,4200000,4500000,5009633
Furkan Korkmaz,3500000,4141320,4500000,5000000
Deni Avdija,3500000,4137302,4500000,4916160
Davion Mitchell,3500000,4100000,4458000,4833600
Johnny Davis,3481985,4033440,4447896,4810320
Ty Jerome,3481985,4023600,4437000,4728948
Ishmael Smith,3458400,4000000,4373040,4725000
Jalen Smith,3454080,4000000,4347600,4670160
Ziaire Williams,3389400,3970648,4347600,4591680
Ousmane Dieng,3377568,3944013,4253357,4569840
Moe Harkless,3321029,3934320,4235160,4564980
Jeff Green,3285120,3929049,4224186,4500000
Donte DiVincenzo,3280920,3925000,4220083,4500000
Devin Vassell,3219480,3909902,4215120,4437000
Matisse Thybulle,3150000,3897436,4154400,4379526
Jarred Vanderbilt,3058800,3872215,4107149,4374000
James Bouknight,3000000,3870370,4087904,4362240
Brandon Clarke,3000000,3831840,4054695,4343919
Jalen Williams,3000000,3822240,4050000,4341480
Grant Williams,2964840,3814771,4023600,4306281
Darius Bazley,2961120,3804150,4004280,4264628
Tyrese Haliburton,2907143,3761085,4000000,4215120
Nassir Little,2905800,3737520,4000000,4171548
Josh Primo,2875000,3717000,4000000,4144320
Jalen Duren,2816760,3640200,3980551,4124280
Gorgui Dieng,2813280,3631200,3946800,4105236
Danuel House,2764200,3623000,3940184,4105000
Boban Marjanovic,2750000,3623000,3938818,4101478
Justise Winslow,2731713,3623000,3902439,4097561
Dylan Windler,2689920,3564753,3822240,4037277
Stanley Johnson,2686560,3562178,3804360,4022164
Kira Lewis,2636280,3550800,3799131,4004280
George Hill,2625717,3542060,3768342,4000000
Terence Davis,2625000,3516284,3749400,4000000
Chris Duarte,2603981,3500000,3732000,3936960
Alex Len,2582160,3500000,3661976,3918600
Ochai Agbaji,2578800,3500000,3631200,3918360
Jordan Poole,2564753,3500000,3562200,3901399
Keldon Johnson,2564753,3491159,3500000,3873024
Sviatoslav Mykhailiuk,2564753,3458400,3500000,3846895
James Johnson,2564753,3449400,3449400,3841067
Aaron Nesmith,2564753,3447478,3383640,3804360
Moses Moody,2564753,3372840,3355239,3740160
Mark Williams,2564753,3372826,3300000,3722040
Cole Anthony,2564753,3300000,3300000,3613680
Corey Kispert,2564753,3300000,3277080,3552840
AJ Griffin,2564753,3285120,3277080,3536160
Goran Dragic,2564753,3283684,3261480,3523762
Mike Muscala,2530680,3200000,3214680,3500000
Georges Niang,2505793,3169348,3169348,3465000
Isaiah Stewart,2500000,3121080,3150000,3433320
Chuma Okeke,2478840,3121080,3113160,3433320
Trey Burke,2475840,3113160,3100000,3423750
Amir Coffey,2429400,3051832,3098400,3395062
Alperen Sengun,2391985,3044160,3053760,3375360
Tari Eason,2379840,3011499,3000000,3359160
Aleksej Pokusevski,2376840,3000000,3000000,3261480
Kevin Porter,2351838,3000000,2957520,3217631
Trey Murphy,2338846,2964840,2901240,3206520
Simone Fontecchio,2332320,2957520,2844429,3205128
Derrick Jones,2331593,2895720,2840160,3200000
Andre Drummond,2321735,2893630,2824320,3200000
Dalen Terry,2320044,2844429,2770560,3191400
Sterling Brown,2305057,2824320,2726880,3122602
Josh Green,2284800,2816760,2711280,3098400
Jake LaRavia,2281800,2761920,2692991,3047640
Tre Mann,2281800,2750000,2659680,3046200
Kevin Knox,2259887,2750000,2641691,3000000
Saddiq Bey,2250000,2711280,2641691,2959080
Malaki Branham,2239200,2689920,2641691,2925600
Joe Wieskamp,2193480,2651040,2641691,2909261
Kai Jones,2177483,2619207,2641691,2909040
Blake Griffin,2174318,2602920,2641691,2905851
Robin Lopez,2174310,2582160,2641691,2905851
Markieff Morris,2159029,2564753,2641691,2905851
Andre Iguodala,2149560,2564753,2641691,2905851
Serge Ibaka,2105520,2564753,2641691,2905851
Udonis Haslem,2063520,2564753,2641691,2905851
Wesley Matthews,2035800,2564753,2641691,2905851
Austin Rivers,2033160,2564753,2641691,2905851
Bismack Biyombo,2028594,2564753,2641691,2905851
Taj Gibson,2028594,2545320,2617800,2905851
RJ Hampton,2028594,2498760,2602920,2898243
Andrew Nicholson,2000000,2478840,2553240,2844429
Precious Achiuwa,2000000,2443440,2513040,2840160
Christian Braun,2000000,2432353,2500000,2808600
Jordan Nwora,1995120,2399160,2498760,2800000
Jalen Johnson,1977000,2383915,2451240,2792640
Tyrese Maxey,1974600,2379840,2412840,2726880
Bruno Fernando,1964760,2345640,2401537,2717391
Walker Kessler,1962360,2337145,2401537,2696400
Keon Johnson,1950600,2331593,2401537,2681040
Charles Bassey,1948080,2331593,2401537,2674742
Dennis Schroeder,1937520,2331593,2389641,2641682
TJ Warren,1934160,2320044,2389641,2628597
Matthew Dellavedova,1925880,2320044,2389641,2628597
Trey Lyles,1911600,2303040,2389641,2625000
Zeke Nnaji,1897800,2283034,2389641,2617800
David Roddy,1882867,2252040,2389641,2588640
Isaiah Jackson,1882867,2250000,2353320,2573760
MarJon Beauchamp,1882867,2250000,2353320,2485200
Usman Garuba,1845301,2245400,2327220,2471160
Raul Neto,1845301,2210640,2320000,2463490
Frank Kaminsky,1746470,2193480,2316240,2463490
Montrezl Harrell,1737145,2174318,2303040,2463490
Willy Hernangomez,1737145,2174318,2271045,2443581
Theo Maledon,1737145,2160000,2259240,2408891
Blake Wesley,1737145,2141713,2245400,2385480
Josh Christopher,1723050,2137440,2239820,2372160
Isaiah Roby,1702486,2105520,2239544,2330681
Lindy Waters III,1699236,2100000,2239544,2316876
Immanuel Quickley,1678854,2090040,2239200,2316240
Wendell Moore,1676735,2063280,2210640,2306520
John Konchar,1645357,2058240,2200000,2300000
Rodney McGruder,1645357,2048040,2168640,2298385
Bryn Forbes,1645357,2035800,2161440,2298385
Juan Hernangomez,1645357,2029920,2161152,2298385
Damian Jones,1620564,2028594,2145720,2298385
Quentin Grimes,1620564,2028594,2137440,2277000
Saben Lee,1618520,2028594,2130023,2266640
Andrew Nembhard,1618520,2018458,2096880,2244111
Nikola Jovic,1618520,2017320,2089448,2239920
Payton Pritchard,1618520,2007058,2089448,2239200
Vlatko Cancar,1618520,2002800,2089448,2234359
Patrick Baldwin,1618520,2000000,2075880,2226000
TyTy Washington,1618520,2000000,2063280,2210040
Bones Hyland,1618520,2000000,2048040,2201520
Bol Bol,1618520,1988280,2038942,2200000
Peyton Watson,1588231,1981649,2036280,2193960
Marquese Chriss,1588231,1977011,2033160,2193920
Udoka Azubuike,1588231,1977011,2023680,2174880
Jaden McDaniels,1559712,1977000,2009160,2161440
Jordan McLaughlin,1500000,1964760,2000000,2160000
Malachi Flynn,1500000,1950600,2000000,2145720
Cam Thomas,1445697,1936440,2000000,2138160
Luke Kornet,1445697,1900000,2000000,2133278
Dennis Smith,1445697,1882867,2000000,2133278
Damion Lee,1445697,1882867,2000000,2133278
Juan Toscano-Anderson,1445697,1882867,1994520,2133278
Desmond Bane,1416852,1865546,1977011,2130240
Jaden Springer,1416852,1824003,1958495,2125200
Day'Ron Sharpe,1416852,1824003,1939350,2109480
Santiago Aldama,1416852,1824003,1939350,2094120
