player,2020,2021,2022,2023
,3253925,4287908,4382358,4219224
,3204143,4218971,4292296,4157150
,3200140,4215924,4272217,4141588
,3140248,4202457,4266345,4123174
,3127666,4192113,4231770,4118767
,3126812,4161607,4210498,4118767
,3101775,4142334,4190958,4053855
,3075782,4142334,4112323,4034950
,3071780,4142334,4077762,4034703
,3055048,4142334,4000277,4017238
,3055048,4131871,3930427,3988020
,3055048,4093100,3930427,3961115
,3055048,4082448,3873605,3955115
,3055048,4080172,3799757,3917318
,3055048,3991837,3767863,3851211
,3055048,3991820,3705831,3832553
,3055048,3905630,3705831,3720976
,3055048,3905630,3680093,3658330
,3055048,3888019,3680093,3641154
,3055048,3886319,3662574,3628387
,3014461,3787277,3610019,3603921
,2984817,3751000,3559112,3567882
,2977916,3693873,3537384,3535261
,2952711,3693873,3496014,3535261
,2949138,3684500,3481236,3525407
,2893820,3611916,3479439,3495867
,2849252,3602837,3429309,3475580
,2834786,3564181,3368938,3458899
,2831212,3550572,3368938,3358319
,2801430,3550572,3321233,3313168
,2785955,3508960,3258032,3301727
,2778181,3500296,3194235,3300293
,2777315,3427154,3189441,3295013
,2765573,3424681,3171653,3295013
,2763559,3366450,3111281,3286158
,2745707,3342651,3062229,3215317
,2721577,3333703,3044711,3190397
,2718004,3268799,3024173,3138129
,2718004,3254691,2986765,3136647
,2691902,3254691,2966564,3089075
,2680124,3208865,2966564,3046940
,2667260,3183585,2966564,3012466
,2612800,3137570,2966564,2995641
,2593745,3099894,2966564,2995414
,2589975,3080618,2966564,2992130
,2589965,3056048,2966564,2992130
,2571763,3035447,2966564,2992130
,2560484,3035447,2966564,2992130
,2508025,3035447,2966564,2992130
,2457996,3035447,2966564,2992130
,2424977,3035447,2966564,2992130
,2421832,3035447,2966564,2992130
,2416393,3035447,2966564,2992130
,2416393,3012447,2939735,2992130
,2416393,2957343,2923025,2984296
,2382333,2933767,2867235,2928885
,2382333,2891870,2822092,2924489
,2382333,2878748,2807448,2891992
,2376520,2839464,2806055,2883136
,2354936,2821420,2752691,2875558
,2352077,2816598,2709569,2807845
,2340356,2776121,2696876,2798075
,2337497,2766067,2696876,2776460
,2323489,2759496,2696876,2760644
,2320487,2759496,2696876,2754159
,2307909,2759496,2683517,2720118
,2303906,2745828,2683517,2706644
,2294044,2745828,2683517,2706644
,2277034,2725703,2683517,2702940
,2260596,2702026,2683517,2695527
,2242808,2665343,2683517,2665501
,2242808,2662929,2642729,2650179
,2242808,2662929,2642729,2558990
,2198061,2657485,2613420,2544533
,2198061,2616346,2605312,2536635
,2080336,2596036,2601089,2536635
,2069229,2573358,2586266,2536635
,2069229,2573358,2550336,2516135
,2069229,2556412,2537079,2480414
,2069229,2534769,2521537,2456309
,2052439,2529712,2515271,2442593
,2027944,2491933,2514961,2399882
,2024073,2485400,2514961,2385668
,1999794,2473613,2514575,2385013
,1997270,2441941,2482503,2375004
,1959894,2435976,2470554,2368291
,1959894,2423904,2435337,2366628
,1959894,2409418,2427252,2366628
,1959894,2402459,2426929,2366628
,1930361,2400890,2409599,2366628
,1930361,2400890,2400301,2344608
,1927927,2400890,2391971,2333938
,1927927,2388893,2354752,2310742
,1927927,2387547,2346406,2306427
,1927927,2375401,2346406,2305685
,1927927,2370362,2346406,2300701
,1927927,2367048,2331170,2292093
,1927927,2367048,2317020,2275660
,1927927,2367048,2299906,2266887
,1927927,2353177,2289689,2265321
,1891847,2345329,2286700,2259102
,1891847,2339840,2283196,2259061
,1891847,2339840,2272550,2239456
,1857876,2339827,2256245,2225616
,1786749,2325341,2245958,2224134
,1786749,2308582,2245958,2209430
,1722066,2291823,2245958,2201645
,1722066,2248696,2245958,2196618
,1722066,2228418,2245958,2196618
,1722066,2228418,2245958,2196618
,1722066,2228418,2239804,2196618
,1687706,2207918,2220142,2193490
,1687706,2158751,2199349,2188300
,1687706,2158751,2177850,2172114
,1687706,2158751,2177850,2156298
,1687706,2110882,2171739,2096779
,1687706,2106853,2163794,2096779
,1687706,2086311,2162191,2059383
,1687706,2086311,2145856,2059383
,1687706,2086311,2145856,2059383
,1687706,2086311,2135485,2059383
,1687706,2074658,2099339,2059383
,1687706,2074658,2094969,2057033
,1687706,2055953,2088027,2026613
,1687706,2055953,2073848,2026613
,1687706,2055953,2023672,2026613
,1687706,2055953,2023672,2026613
,1687706,2040049,2009297,2026613
,1687706,2033272,2009297,2026613
,1687706,2013876,2009297,2026613
,1687706,2013876,2009297,2026613
,1687706,2013876,2009297,1988006
,1667633,1995794,2006627,1988006
,1667633,1986964,2001846,1988006
,1537748,1986964,2001846,1988006
,1494834,1986964,2001846,1988006
,1462783,1986964,2001846,1988006
,1397607,1969219,2001846,1967596
,1254190,1969219,2001846,1958610
,1191166,1969219,2001846,1958610
,1191166,1969219,2001846,1958087
,1075755,1969219,2001846,1938519
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1901570
,1070036,1969219,2001846,1890606
,1070036,1917976,1979583,1890606
,1070036,1917976,1979583,1890606
,1070036,1917976,1952933,1890606
,1070036,1917976,1941874,1890606
,1070036,1917976,1941874,1869587
,1070036,1796567,1941874,1869587
,1070036,1796567,1941874,1869587
,1070036,1796567,1941874,1837999
,1070036,1796567,1941874,1835550
,1070036,1796567,1910853,1835550
,1070036,1796567,1910853,1835550
,1070036,1796567,1909064,1835550
,1070036,1796567,1898404,1835550
,1003351,1796567,1874452,1835550
,1001088,1796567,1874452,1835550
,997700,1796567,1874452,1835550
,888674,1796567,1874452,1804676
,856168,1796567,1874452,1804676
,719795,1796567,1818120,1760052
,708889,1796567,1813414,1754493
,689176,1796567,1800763,1724377
,671038,1796567,1800763,1688531
,622668,1796567,1762154,1686600
,610736,1796567,1704921,1686600
,575470,1796567,1704661,1621764
,574313,1796567,1704661,1609941
,556177,1796567,1704661,1609941
,546077,1796567,1704661,1609941
,517804,1796567,1704661,1609941
,454263,1796567,1704661,1609941
,447146,1796567,1704661,1609941
,446687,1796567,1704661,1609941
,417133,1796567,1704661,1609941
,417133,1796567,1704661,1609941
,417133,1775286,1704661,1609941
,345203,1760235,1704661,1609941
,297791,1724000,1704661,1609941
,292652,1711017,1704661,1609941
,273039,1711017,1704661,1609941
,235771,1711017,1704661,1609941
,233811,1711017,1684469,1609941
,233811,1711017,1672189,1550680
,225964,1597757,1672189,1544537
,223679,1538581,1635806,1504436
,218120,1526564,1537355,1338599
,218120,1485906,1512289,1318217
,218120,1479405,1466342,1235630
,218120,1462703,1451900,1195425
,194584,1413769,1403724,1149251
,194584,1379186,1395122,1138346
,192069,1264240,1311961,1099916
,185401,1256053,1224055,1048000
,154337,1229776,1199566,1048000
,126479,1201163,1192944,1048000
,120908,1183524,1187281,1048000
,109059,1183524,1129305,1048000
,109059,1183524,1127178,1048000
,107021,1182577,1122080,1043199
,97292,1117203,1115971,1029692
,94778,1082980,1062631,1028868
,94778,1078066,1039045,1009156
,94778,1063171,1039045,904007
,94778,1063171,1039045,878574
,94778,1063171,1039045,863798
,94778,1063171,1039045,848506
,94778,1063171,1039045,830030
,94778,1063171,1039045,823138
,94778,1063171,1039045,807951
,94778,1063171,1039045,766010
,94778,1063171,1039045,734744
,94778,1063171,1039045,723163
,94778,950422,1039045,715510
,94778,949401,1036597,672212
,94778,873436,1022949,652760
,94778,842998,1005206,647471
,94778,827419,975956,630338
,94778,821075,947806,593339
,94778,820348,915135,571702
,94778,814326,912267,554300
,94778,811116,912266,547057
,94778,789015,910975,536046
,94778,782013,870002,527012
,94778,773934,863380,524000
,94778,765856,827711,524000
,94778,735663,815426,524000
,94778,727675,812745,524000
,94778,720917,794948,524000
,94778,707111,748652,524000
,94778,701081,708457,524000
,94778,685073,695683,524000
,94778,637198,688165,524000
,94778,636603,644114,524000
,94778,633533,632981,524000
,94778,629892,627009,524000
,94778,626487,615056,524000
,94778,618970,600785,524000
,94778,616008,597871,524000
,94778,611687,586210,524000
,94778,604290,573738,524000
,94778,596212,561322,524000
,94778,595261,552366,524000
,94778,578918,538636,524000
,94778,557073,520176,524000
,94778,557073,520176,524000
,94778,543727,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,78590,531538,519522,524000
