Player,Salary,Salary (adjusted)
De'Anthony Melton,1416852,1687706
Kendrick Nunn,1416852,1687706
Duncan Robinson,1416852,1687706
Jarred Vanderbilt,1416852,1687706
Kenrich Williams,1416852,1687706
Hamidou Diallo,1416852,1687706
Deonte Burton,1416852,1687706
Melvin Frazier,1416852,1687706
Ryan Broekhoff,1416852,1687706
Jevon Carter,1416852,1687706
Elie Okobo,1416852,1687706
Gary Trent Jr,1416852,1687706
Chimezie Metu,1416852,1687706
Isaac Bonga,1416852,1687706
Bruno Fernando,1400000,1667633
Jaylen Nowell,1400000,1667633
Kevin Porter,1290960,1537748
Jordan McRae,1254933,1494834
Carsen Edwards,1228026,1462783
Cody Martin,1173310,1397607
Gary Payton II,1052909,1254190
Terance Mann,1000000,1191166
Admiral Schofield,1000000,1191166
David Nwaba,903111,1075755
Javonte Green,898310,1070036
Nicolas Claxton,898310,1070036
Jalen McDaniels,898310,1070036
Caleb Martin,898310,1070036
Daniel Gafford,898310,1070036
Vlatko Cancar,898310,1070036
Alen Smailagic,898310,1070036
Eric Paschall,898310,1070036
Talen Horton-Tucker,898310,1070036
KZ Okpala,898310,1070036
Naz Reid,898310,1070036
Ignas Brazdeikis,898310,1070036
Jalen Lecque,898310,1070036
DaQuan Jeffries,898310,1070036
Justin James,898310,1070036
Matt Thomas,898310,1070036
Terence Davis,898310,1070036
Dewan Hernandez,898310,1070036
Miye Oni,898310,1070036
Damion Lee,842327,1003351
Jeff Green,840427,1001088
Timothe Luwawu,837583,997700
Juwan Morgan,746054,888674
Gary Clark,718765,856168
Marvin Williams,604278,719795
Michael Kidd-Gilchrist,595122,708889
Rayjon Tucker,578573,689176
Chris Clemons,563346,671038
Brandon Goodwin,522738,622668
Reggie Jackson,512721,610736
Justin Patton,483115,575470
Anzejs Pasecniks,482144,574313
Chris Silva,466918,556177
Troy Daniels,458439,546077
Anthony Tolliver,434704,517804
Joakim Noah,381360,454263
Dion Waiters,375385,447146
Dean Wade,375000,446687
Juan Toscano-Anderson,350189,417133
Ky Bowman,350189,417133
Norvel Pelle,350189,417133
Jamal Crawford,289803,345203
Jordan Bell,250000,297791
Tyler Zeller,245686,292652
Trey Burke,229220,273039
Jontay Porter,197933,235771
Cameron Payne,196288,233811
Jerian Grant,196288,233811
Dragan Bender,189700,225964
Mychal Mulder,187782,223679
Tyler Johnson,183115,218120
PJ Dozier,183115,218120
Sindarius Thornwell,183115,218120
Corey Brewer,183115,218120
Joe Chealey,163356,194584
Jaylen Adams,163356,194584
Johnathan Williams,161245,192069
Luguentz Dort,155647,185401
Oshae Brissett,129568,154337
JP Macura,106181,126479
Donta Hall,101504,120908
Sheldon Mac,91557,109059
Chasson Randle,91557,109059
Jonah Bolden,89846,107021
Derrick Walton,81678,97292
Charlie Brown,79568,94778
Tacko Fall,79568,94778
Tremont Waters,79568,94778
Jeremiah Martin,79568,94778
Chris Chiozza,79568,94778
Raymond Spalding,79568,94778
Kobi Simmons,79568,94778
Max Strus,79568,94778
Adam Mokoka,79568,94778
Matt Mooney,79568,94778
Josh Reaves,79568,94778
Antonius Cleveland,79568,94778
Tyler Cook,79568,94778
Bol Bol,79568,94778
Jordan Bone,79568,94778
Louis King,79568,94778
Michael Frazier,79568,94778
William Howard,79568,94778
Naz Long,79568,94778
Brian Bowen,79568,94778
Johnathan Motley,79568,94778
Amir Coffey,79568,94778
Devontae Cacok,79568,94778
Kostas Antetokounmpo,79568,94778
John Konchar,79568,94778
Yuta Watanabe,79568,94778
Kyle Alexander,79568,94778
Gabe Vincent,79568,94778
Cam Reynolds,79568,94778
Frank Mason,79568,94778
Kelan Martin,79568,94778
Jordan McLaughlin,79568,94778
Zylan Cheatham,79568,94778
Josh Gray,79568,94778
Kenny Wooten,79568,94778
Jared Harper,79568,94778
Kevin Hervey,79568,94778
Vic Law,79568,94778
BJ Johnson,79568,94778
Marial Shayok,79568,94778
Tariq Owens,79568,94778
Moses Brown,79568,94778
Jaylen Hoard,79568,94778
Kyle Guy,79568,94778
Drew Eubanks,79568,94778
Quinndary Weatherspoon,79568,94778
Paul Watson,79568,94778
Jarrell Brantley,79568,94778
Justin Wright-Foreman,79568,94778
Garrison Mathews,79568,94778
Malik Newman,65978,78590
