Player,Salary,Salary (adjusted)
Omari Spellman,1988280,2353177
Quinn Cook,1981649,2345329
Mario Hezonja,1977011,2339840
Cameron Payne,1977011,2339840
Udoka Azubuike,1977000,2339827
Jaden McDaniels,1964760,2325341
Malachi Flynn,1950600,2308582
Desmond Bane,1936440,2291823
Jontay Porter,1900000,2248696
Jahlil Okafor,1882867,2228418
JaKarr Sampson,1882867,2228418
Raul Neto,1882867,2228418
Larry Sanders,1865546,2207918
Timothe Luwawu,1824003,2158751
David Nwaba,1824003,2158751
Marquese Chriss,1824003,2158751
Georges Niang,1783557,2110882
Rodions Kurucs,1780152,2106853
PJ Dozier,1762796,2086311
Damion Lee,1762796,2086311
Alfonzo McKinnie,1762796,2086311
Furkan Korkmaz,1762796,2086311
Semi Ojeleye,1752950,2074658
Abdel Nader,1752950,2074658
Thon Maker,1737145,2055953
Willy Hernangomez,1737145,2055953
Frank Kaminsky,1737145,2055953
DeAndre Bembry,1737145,2055953
Monte Morris,1723707,2040049
Kevin Porter,1717981,2033272
Brandon Goodwin,1701593,2013876
Thanasis Antetokounmpo,1701593,2013876
Shake Milton,1701593,2013876
Ignas Brazdeikis,1686315,1995794
Sterling Brown,1678854,1986964
Wesley Iwundu,1678854,1986964
Dwayne Bacon,1678854,1986964
Torrey Craig,1678854,1986964
Bruce Brown,1663861,1969219
Devonte Graham,1663861,1969219
Jalen Brunson,1663861,1969219
Hamidou Diallo,1663861,1969219
Duncan Robinson,1663861,1969219
Kendrick Nunn,1663861,1969219
Jarred Vanderbilt,1663861,1969219
Mitchell Robinson,1663861,1969219
Sviatoslav Mykhailiuk,1663861,1969219
Gary Trent Jr,1663861,1969219
Isaac Bonga,1663861,1969219
Isaiah Hartenstein,1620564,1917976
Wenyen Gabriel,1620564,1917976
Josh Gray,1620564,1917976
Harry Giles,1620564,1917976
Drew Eubanks,1620564,1917976
Bruno Fernando,1517981,1796567
Carsen Edwards,1517981,1796567
Nicolas Claxton,1517981,1796567
Cody Martin,1517981,1796567
Caleb Martin,1517981,1796567
Jalen McDaniels,1517981,1796567
Javonte Green,1517981,1796567
Dean Wade,1517981,1796567
Vlatko Cancar,1517981,1796567
Eric Paschall,1517981,1796567
Alen Smailagic,1517981,1796567
Mychal Mulder,1517981,1796567
Chris Clemons,1517981,1796567
Jalen Lecque,1517981,1796567
Terance Mann,1517981,1796567
Talen Horton-Tucker,1517981,1796567
KZ Okpala,1517981,1796567
Naz Reid,1517981,1796567
Jaylen Nowell,1517981,1796567
Admiral Schofield,1517981,1796567
Luguentz Dort,1517981,1796567
Isaiah Roby,1517981,1796567
Justin James,1517981,1796567
Terence Davis,1517981,1796567
